Date,DAILYPRODGAS,MONTHLYPRODGAS,GAS.CUMU.,DAILYCONDPROD,MONTHLYPRODCOND,COND.CUMU.,DAILYPRODOIL,MONTHLYPRODOIL,OIL.CUMU.,Days.Produced,DAILYWATER,MONTHLYWATER
5/31/1990,,0.000,0.000,,0,0.0000,,0,0.000,,,0
6/30/1990,0.0,0.000,0.000,0,0,0.0000,97.7,1758,1.758,18,0,0
7/31/1990,0.0,0.000,0.000,0,0,0.0000,106.5,3302,5.060,31,1,26
8/31/1990,0.0,0.000,0.000,0,0,0.0000,110.7,3431,8.491,31,1,27
9/30/1990,0.0,0.000,0.000,0,0,0.0000,113.0,3390,11.881,30,1,27
10/31/1990,0.0,0.000,0.000,0,0,0.0000,116.5,3610,15.491,31,1,29
11/30/1990,0.0,0.000,0.000,0,0,0.0000,83.1,2327,17.818,28,1,19
12/31/1990,0.0,0.000,0.000,0,0,0.0000,124.0,3597,21.415,29,1,23
1/31/1991,0.0,0.000,0.000,0,0,0.0000,120.1,3723,25.138,31,0,0
2/28/1991,0.0,0.000,0.000,0,0,0.0000,101.7,2848,27.986,28,0,0
3/31/1991,0.0,0.000,0.000,0,0,0.0000,111.9,3469,31.456,31,0,0
4/30/1991,0.0,0.000,0.000,0,0,0.0000,37.1,1077,32.532,29,0,0
5/31/1991,0.0,0.000,0.000,0,0,0.0000,134.8,4178,36.710,31,0,0
6/30/1991,0.0,0.000,0.000,0,0,0.0000,135.3,4058,40.768,30,0,0
7/31/1991,0.0,0.000,0.000,0,0,0.0000,128.9,3996,44.764,31,0,0
8/31/1991,0.0,0.000,0.000,0,0,0.0000,130.3,4039,48.803,31,0,0
9/30/1991,0.0,0.000,0.000,0,0,0.0000,129.9,3896,52.699,30,0,0
10/31/1991,0.0,0.000,0.000,0,0,0.0000,131.1,4065,56.764,31,1,16
11/30/1991,0.0,0.000,0.000,0,0,0.0000,130.5,3915,60.679,30,1,16
12/31/1991,0.0,0.000,0.000,0,0,0.0000,130.9,4059,64.738,31,1,16
1/31/1992,0.0,0.000,0.000,0,0,0.0000,131.4,4074,68.812,31,0,8
2/29/1992,0.0,0.000,0.000,0,0,0.0000,113.1,3281,72.093,29,0,7
3/31/1992,0.0,0.000,0.000,0,0,0.0000,137.5,4262,76.355,31,0,9
4/30/1992,0.0,0.000,0.000,0,0,0.0000,135.3,4059,80.414,30,0,8
5/31/1992,0.0,0.000,0.000,0,0,0.0000,133.0,4122,84.536,31,0,8
6/30/1992,0.0,0.000,0.000,0,0,0.0000,131.9,3956,88.492,30,0,12
7/31/1992,0.0,0.000,0.000,0,0,0.0000,91.3,2829,91.321,31,0,8
8/31/1992,0.0,0.000,0.000,0,0,0.0000,32.3,1000,92.321,31,0,2
9/30/1992,0.0,0.000,0.000,0,0,0.0000,12.3,368,92.689,30,0,1
10/31/1992,0.0,0.000,0.000,0,0,0.0000,41.2,1278,93.967,31,0,3
11/30/1992,0.0,0.000,0.000,0,0,0.0000,42.0,1259,95.226,30,0,3
12/31/1992,0.0,0.000,0.000,0,0,0.0000,44.0,1364,96.591,31,0,3
1/31/1993,0.0,0.000,0.000,0,0,0.0000,44.8,1390,97.981,31,0,3
2/28/1993,0.0,0.000,0.000,0,0,0.0000,43.3,1213,99.194,28,0,2
3/31/1993,0.0,0.000,0.000,0,0,0.0000,43.7,1355,100.549,31,0,3
4/30/1993,0.0,0.000,0.000,0,0,0.0000,134.6,4037,104.586,30,0,8
5/31/1993,0.0,0.000,0.000,0,0,0.0000,143.6,4452,109.038,31,1,35
6/30/1993,0.0,0.000,0.000,0,0,0.0000,139.6,4187,113.225,30,1,31
7/31/1993,0.0,0.000,0.000,0,0,0.0000,135.2,4191,117.416,31,1,34
8/31/1993,0.0,0.000,0.000,0,0,0.0000,130.1,4034,121.450,31,1,32
9/30/1993,0.0,0.000,0.000,0,0,0.0000,130.7,3921,125.371,30,1,31
10/31/1993,0.0,0.000,0.000,0,0,0.0000,127.7,3960,129.331,31,1,35
11/30/1993,0.0,0.000,0.000,0,0,0.0000,124.4,3731,133.062,30,1,30
12/31/1993,0.0,0.000,0.000,0,0,0.0000,126.1,3908,136.970,31,2,47
1/31/1994,0.0,0.000,0.000,0,0,0.0000,126.8,3930,140.900,31,1,31
2/28/1994,0.0,0.000,0.000,0,0,0.0000,125.4,3510,144.410,28,1,28
3/31/1994,0.0,0.000,0.000,0,0,0.0000,121.7,3774,148.184,31,1,30
4/30/1994,0.0,0.000,0.000,0,0,0.0000,115.4,3463,151.647,30,1,31
5/31/1994,0.0,0.000,0.000,0,0,0.0000,115.0,3564,155.211,31,1,28
6/30/1994,0.0,0.000,0.000,0,0,0.0000,116.2,3486,158.697,30,1,28
7/31/1994,0.0,0.000,0.000,0,0,0.0000,114.3,3543,162.240,31,1,29
8/31/1994,0.0,0.000,0.000,0,0,0.0000,81.8,2536,164.776,31,1,28
9/30/1994,0.0,0.000,0.000,0,0,0.0000,110.5,3316,168.092,30,1,27
10/31/1994,0.0,0.000,0.000,0,0,0.0000,112.1,2803,170.895,25,1,19
11/30/1994,0.0,0.000,0.000,0,0,0.0000,92.2,1752,172.647,19,1,12
12/31/1994,0.0,0.000,0.000,0,0,0.0000,118.5,3675,176.322,31,1,30
1/31/1995,0.0,0.000,0.000,0,0,0.0000,139.2,4315,180.637,31,1,35
2/28/1995,0.0,0.000,0.000,0,0,0.0000,129.1,3615,184.252,28,1,31
3/31/1995,0.0,0.000,0.000,0,0,0.0000,124.3,3854,188.106,31,1,43
4/30/1995,0.0,0.000,0.000,0,0,0.0000,118.4,3553,191.659,30,1,28
5/31/1995,0.0,0.000,0.000,0,0,0.0000,114.0,3535,195.193,31,1,32
6/30/1995,0.0,0.000,0.000,0,0,0.0000,111.5,3345,198.539,30,1,32
7/31/1995,0.0,0.000,0.000,0,0,0.0000,105.9,3282,201.821,31,1,30
8/31/1995,0.0,0.000,0.000,0,0,0.0000,100.8,3125,204.946,31,1,28
9/30/1995,0.0,0.000,0.000,0,0,0.0000,99.2,2975,207.921,30,1,27
10/31/1995,0.0,0.000,0.000,0,0,0.0000,96.3,2985,210.906,31,1,27
11/30/1995,0.0,0.000,0.000,0,0,0.0000,80.5,2414,213.319,30,1,22
12/31/1995,0.0,0.000,0.000,0,0,0.0000,115.0,2760,216.080,24,1,25
1/31/1996,0.0,0.000,0.000,0,0,0.0000,86.8,2690,218.770,31,1,24
2/29/1996,0.0,0.000,0.000,0,0,0.0000,82.2,2385,221.155,29,1,22
3/31/1996,0.0,0.000,0.000,0,0,0.0000,94.0,2915,224.070,31,1,26
4/30/1996,0.0,0.000,0.000,0,0,0.0000,90.3,2710,226.779,30,1,25
5/31/1996,0.0,0.000,0.000,0,0,0.0000,83.7,2595,229.374,31,1,24
6/30/1996,0.0,0.000,0.000,0,0,0.0000,80.5,2415,231.790,30,1,22
7/31/1996,0.0,0.000,0.000,0,0,0.0000,76.4,2370,234.160,31,1,22
8/31/1996,0.0,0.000,0.000,0,0,0.0000,73.5,2280,236.439,31,1,21
9/30/1996,0.0,0.000,0.000,0,0,0.0000,73.7,2210,238.650,30,1,20
10/31/1996,0.0,0.000,0.000,0,0,0.0000,74.4,2305,240.955,31,1,21
11/30/1996,0.0,0.000,0.000,0,0,0.0000,64.9,1946,242.900,30,1,18
12/31/1996,0.0,0.000,0.000,0,0,0.0000,69.5,2155,245.056,31,1,20
1/31/1997,0.0,0.000,0.000,0,0,0.0000,65.8,2040,247.096,31,1,19
2/28/1997,0.0,0.000,0.000,0,0,0.0000,65.0,1820,248.916,28,1,17
3/31/1997,0.0,0.000,0.000,0,0,0.0000,66.8,2070,250.985,31,1,19
4/30/1997,0.0,0.000,0.000,0,0,0.0000,68.7,2060,253.046,30,1,19
5/31/1997,0.0,0.000,0.000,0,0,0.0000,64.7,2005,255.051,31,1,18
6/30/1997,0.0,0.000,0.000,0,0,0.0000,62.3,1870,256.921,30,1,17
7/31/1997,0.0,0.000,0.000,0,0,0.0000,59.2,1835,258.756,31,1,17
8/31/1997,0.0,0.000,0.000,0,0,0.0000,52.4,1625,260.381,31,0,15
9/30/1997,0.0,0.000,0.000,0,0,0.0000,61.0,1830,262.211,30,1,17
10/31/1997,0.0,0.000,0.000,0,0,0.0000,63.1,1955,264.166,31,1,18
11/30/1997,0.0,0.000,0.000,0,0,0.0000,61.2,1835,266.001,30,1,17
12/31/1997,0.0,0.000,0.000,0,0,0.0000,58.9,1825,267.826,31,0,1
1/31/1998,0.0,0.000,0.000,0,0,0.0000,66.8,2070,269.896,31,0,1
2/28/1998,0.0,0.000,0.000,0,0,0.0000,86.7,2427,272.323,28,0,1
3/31/1998,0.0,0.000,0.000,0,0,0.0000,96.9,3005,275.328,31,0,1
4/30/1998,0.0,0.000,0.000,0,0,0.0000,91.2,2735,278.062,30,0,1
5/31/1998,0.0,0.000,0.000,0,0,0.0000,84.3,2615,280.677,31,0,1
6/30/1998,0.0,0.000,0.000,0,0,0.0000,81.7,2450,283.127,30,1,15
7/31/1998,0.0,0.000,0.000,0,0,0.0000,77.9,2415,285.542,31,1,17
8/31/1998,0.0,0.000,0.000,0,0,0.0000,74.5,2310,287.852,31,1,16
9/30/1998,0.0,0.000,0.000,0,0,0.0000,68.8,2065,289.917,30,1,15
10/31/1998,0.0,0.000,0.000,0,0,0.0000,68.1,2110,292.027,31,0,15
11/30/1998,0.0,0.000,0.000,0,0,0.0000,67.5,2025,294.052,30,0,12
12/31/1998,0.0,0.000,0.000,0,0,0.0000,68.4,2120,296.172,31,0,15
1/31/1999,0.0,0.000,0.000,0,0,0.0000,66.1,2050,298.222,31,0,12
2/28/1999,0.0,0.000,0.000,0,0,0.0000,63.4,1775,299.997,28,0,11
3/31/1999,0.0,0.000,0.000,0,0,0.0000,62.7,1945,301.943,31,0,8
4/30/1999,0.0,0.000,0.000,0,0,0.0000,61.3,1840,303.783,30,0,6
5/31/1999,0.0,0.000,0.000,0,0,0.0000,60.0,1860,305.643,31,0,9
6/30/1999,0.0,0.000,0.000,0,0,0.0000,57.5,1725,307.368,30,0,9
7/31/1999,0.0,0.000,0.000,0,0,0.0000,56.3,1745,309.113,31,0,0
8/31/1999,0.0,0.000,0.000,0,0,0.0000,56.8,1760,310.873,31,0,9
9/30/1999,0.0,0.000,0.000,0,0,0.0000,55.8,1675,312.548,30,0,10
10/31/1999,0.0,0.000,0.000,0,0,0.0000,55.0,1705,314.253,31,0,9
11/30/1999,0.0,0.000,0.000,0,0,0.0000,55.0,1650,315.903,30,0,8
12/31/1999,0.0,0.000,0.000,0,0,0.0000,54.5,1690,317.593,31,0,10
1/31/2000,0.0,0.000,0.000,0,0,0.0000,54.8,1700,319.293,31,0,9
2/29/2000,0.0,0.000,0.000,0,0,0.0000,54.7,1585,320.878,29,0,10
3/31/2000,0.0,0.000,0.000,0,0,0.0000,54.4,1685,322.563,31,0,12
4/30/2000,0.0,0.000,0.000,0,0,0.0000,52.5,1575,324.138,30,0,11
5/31/2000,0.0,0.000,0.000,0,0,0.0000,53.1,1645,325.783,31,0,15
6/30/2000,0.0,0.000,0.000,0,0,0.0000,55.3,1660,327.443,30,1,15
7/31/2000,0.0,0.000,0.000,0,0,0.0000,53.9,1670,329.113,31,1,23
8/31/2000,0.0,0.000,0.000,0,0,0.0000,53.1,1645,330.758,31,1,25
9/30/2000,0.0,0.000,0.000,0,0,0.0000,53.0,1590,332.348,30,1,25
10/31/2000,0.0,0.000,0.000,0,0,0.0000,54.2,1680,334.029,31,1,27
11/30/2000,0.0,0.000,0.000,0,0,0.0000,54.2,1625,335.654,30,1,28
12/31/2000,0.0,0.000,0.000,0,0,0.0000,56.6,1755,337.409,31,1,26
1/31/2001,0.0,0.000,0.000,0,0,0.0000,55.8,1730,339.138,31,1,17
2/28/2001,0.0,0.000,0.000,0,0,0.0000,55.4,1550,340.688,28,1,23
3/31/2001,0.0,0.000,0.000,0,0,0.0000,55.2,1710,342.398,31,1,27
4/30/2001,0.0,0.000,0.000,0,0,0.0000,54.2,1625,344.023,30,1,24
5/31/2001,0.0,0.000,0.000,0,0,0.0000,53.1,1645,345.668,31,1,25
6/30/2001,0.0,0.000,0.000,0,0,0.0000,54.0,1620,347.288,30,1,23
7/31/2001,0.0,0.000,0.000,0,0,0.0000,53.2,1650,348.938,31,0,0
8/31/2001,0.0,0.000,0.000,0,0,0.0000,52.4,1625,350.563,31,1,18
9/30/2001,0.0,0.000,0.000,0,0,0.0000,54.5,1635,352.197,30,0,10
10/31/2001,0.0,0.000,0.000,0,0,0.0000,54.0,1675,353.873,31,0,8
11/30/2001,0.0,0.000,0.000,0,0,0.0000,54.7,1640,355.513,30,0,13
12/31/2001,0.0,0.000,0.000,0,0,0.0000,55.5,1720,357.232,31,0,9
1/31/2002,0.0,0.000,0.000,0,0,0.0000,56.9,1765,358.998,31,0,11
2/28/2002,0.0,0.000,0.000,0,0,0.0000,59.6,1670,360.668,28,0,7
3/31/2002,0.0,0.000,0.000,0,0,0.0000,58.1,1800,362.467,31,0,7
4/30/2002,0.0,0.000,0.000,0,0,0.0000,57.0,1710,364.177,30,0,8
5/31/2002,0.0,0.000,0.000,0,0,0.0000,56.3,1745,365.922,31,0,9
6/30/2002,0.0,0.000,0.000,0,0,0.0000,55.2,1655,367.577,30,0,5
7/31/2002,0.0,0.000,0.000,0,0,0.0000,56.0,1735,369.312,31,0,4
8/31/2002,0.0,0.000,0.000,0,0,0.0000,58.2,1805,371.117,31,0,4
9/30/2002,0.0,0.000,0.000,0,0,0.0000,58.2,1745,372.862,30,0,3
10/31/2002,0.0,0.000,0.000,0,0,0.0000,55.3,1715,374.577,31,0,0
11/30/2002,0.0,0.000,0.000,0,0,0.0000,56.3,1690,376.267,30,0,3
12/31/2002,0.0,0.000,0.000,0,0,0.0000,57.6,1785,378.052,31,0,2
1/31/2003,0.0,0.000,0.000,0,0,0.0000,57.3,1775,379.828,31,0,4
2/28/2003,0.0,0.000,0.000,0,0,0.0000,56.3,1575,381.403,28,0,2
3/31/2003,0.0,0.000,0.000,0,0,0.0000,56.0,1735,383.138,31,0,2
4/30/2003,0.0,0.000,0.000,0,0,0.0000,54.7,1640,384.778,30,0,2
5/31/2003,0.0,0.000,0.000,0,0,0.0000,53.7,1665,386.443,31,0,2
6/30/2003,0.0,0.000,0.000,0,0,0.0000,53.0,1590,388.033,30,0,2
7/31/2003,0.0,0.000,0.000,0,0,0.0000,54.8,1700,389.733,31,0,0
8/31/2003,0.0,0.000,0.000,0,0,0.0000,55.8,1730,391.462,31,0,0
9/30/2003,0.0,0.000,0.000,0,0,0.0000,55.8,1675,393.138,30,0,0
10/31/2003,0.0,0.000,0.000,0,0,0.0000,55.5,1720,394.857,31,0,0
11/30/2003,0.0,0.000,0.000,0,0,0.0000,54.8,1645,396.502,30,0,0
12/31/2003,0.0,0.000,0.000,0,0,0.0000,55.5,1720,398.222,31,0,0
1/31/2004,0.0,0.000,0.000,0,0,0.0000,55.2,1710,399.932,31,0,0
2/29/2004,0.0,0.000,0.000,0,0,0.0000,55.0,1595,401.527,29,0,0
3/31/2004,0.0,0.000,0.000,0,0,0.0000,53.1,1645,403.172,31,0,0
4/30/2004,0.0,0.000,0.000,0,0,0.0000,54.3,1630,404.802,30,0,0
5/31/2004,0.0,0.000,0.000,0,0,0.0000,60.0,1830,406.632,31,0,0
6/30/2004,0.0,0.000,0.000,0,0,0.0000,73.8,2215,408.847,30,0,0
7/31/2004,0.0,0.000,0.000,0,0,0.0000,66.3,2055,410.902,31,0,0
8/31/2004,0.0,0.000,0.000,0,0,0.0000,62.1,1925,412.827,31,0,0
9/30/2004,0.0,0.000,0.000,0,0,0.0000,63.0,1890,414.717,30,0,0
10/31/2004,0.0,0.000,0.000,0,0,0.0000,60.5,1875,416.592,31,0,0
11/30/2004,0.0,0.000,0.000,0,0,0.0000,63.2,1895,418.487,30,0,0
12/31/2004,0.0,0.000,0.000,0,0,0.0000,58.5,1814,420.301,31,0,0
1/31/2005,0.0,0.000,0.000,0,0,0.0000,59.2,1835,422.136,31,0,0
2/28/2005,0.0,0.000,0.000,0,0,0.0000,83.3,2332,424.469,28,0,0
3/31/2005,0.0,0.000,0.000,0,0,0.0000,82.1,2545,427.013,31,0,0
4/30/2005,0.0,0.000,0.000,0,0,0.0000,80.0,2400,429.413,30,0,0
5/31/2005,0.0,0.000,0.000,0,0,0.0000,76.6,2375,431.788,31,0,0
6/30/2005,0.0,0.000,0.000,0,0,0.0000,73.3,2200,433.988,30,0,0
7/31/2005,0.0,0.000,0.000,0,0,0.0000,73.2,2270,436.258,31,0,0
8/31/2005,0.0,0.000,0.000,0,0,0.0000,69.7,2160,438.418,31,0,0
9/30/2005,0.0,0.000,0.000,0,0,0.0000,69.4,2082,440.500,30,0,0
